TimeGenerated,Id,CorrelationId,Category,OperationName,Result,ResultReason,InitiatedByUser,InitiatedByIpAddress,InitiatedByApp,TargetResourceName,TargetResourceType,TargetUserPrincipalName,ModifiedProperty,OldValue,NewValue
2026-07-27T18:01:27.000Z,20997007-d204-b086-33d4-4737cd17680c,26003636-0580-8afc-29e9-be6113bba122,GroupManagement,Add member to group,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Kwame Ncube,Group,kwame.ncube@cloudora.io,,,
2026-07-28T08:00:34.000Z,14f57122-92f0-5775-1559-481e7c2d0eae,97f491f0-8e8d-dcc1-4538-801012368c23,UserManagement,Update user,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Heidi Ferguson,User,heidi.ferguson@cloudora.io,,,
2026-07-28T10:13:25.000Z,42e4b02e-8837-4bb4-feb0-50403fdbfde9,a132aaef-35bc-0c6f-cd22-b76369c1ae69,GroupManagement,Remove member from group,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Heidi Sharma,Group,heidi.sharma@cloudora.io,,,
2026-07-28T11:49:32.000Z,8475357d-f0d3-2973-8c29-f59e8624d874,59a6c9cf-8f38-810f-c3b7-0a6f4619e5d5,ApplicationManagement,Update application,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Rachel Elliot,Application,rachel.elliot@cloudora.io,,,
2026-07-28T13:25:53.000Z,d9428eb9-28f5-eb64-beaf-1924ca8d2435,b6cb7557-9748-42b3-0230-880abde3b300,DeviceManagement,Update device,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Arthur Mensah,Device,arthur.mensah@cloudora.io,,,
2026-07-28T15:00:04.000Z,ad4b126b-44a1-6280-876a-fb7b9ac71589,b0210de3-fc63-e2a2-5154-ac8c5ae2eadc,UserManagement,Add user,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Rachel Kelly,User,rachel.kelly@cloudora.io,,,
2026-07-28T15:16:30.000Z,1edcedd6-fa18-4fa6-2083-9a12d8c100e3,d7bd8d34-4a0f-af47-6a13-4a96f2097da8,UserManagement,Reset user password,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Mia Reid,User,mia.reid@cloudora.io,,,
2026-07-29T08:19:25.000Z,e16d3bbe-8ea5-ba4c-b85a-f107c496f811,ba70da10-6bc9-170a-a930-7f5e7aed8e8e,UserManagement,Update user,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Kwame Ncube,User,kwame.ncube@cloudora.io,,,
2026-07-29T09:23:47.000Z,84df9f4d-675a-d83d-5b11-b0adae223fea,f0bf40cf-eaca-78d7-3f50-9ff312c2a48b,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Jack Kelly,Device,jack.kelly@cloudora.io,,,
2026-07-29T10:50:23.000Z,9e37a81f-bdc8-316f-b0b7-752eaf9f7bc7,a5ae2e05-4008-f4fc-b384-654ada70e7d5,UserManagement,Update user,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Rachel Alvarez,User,rachel.alvarez@cloudora.io,,,
2026-07-29T14:59:42.000Z,57cc73da-0f82-534d-09b8-10f1dad3af82,b2dce2eb-5d96-1526-85e4-6d1e93d67e70,ApplicationManagement,Update application,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Noah Upton,Application,noah.upton@cloudora.io,,,
2026-07-29T17:39:13.000Z,0d597f73-6571-5f41-5463-9ddbf54a6df0,ea626527-40ef-c07e-d668-b1f40cf65186,UserManagement,Add user,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Ivan Bright,User,ivan.bright@cloudora.io,,,
2026-07-29T18:41:01.000Z,9ec11868-de82-1f5f-7341-547e8979c58d,1d5260c1-8e6b-6ecd-222e-18792d37821f,GroupManagement,Add member to group,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Jonas Patel,Group,jonas.patel@cloudora.io,,,
2026-07-30T10:55:01.000Z,38e12e27-df09-04ce-b4ea-5023c7a77013,0f0e6ae7-d094-b9ad-56d1-3384eaf8fb13,UserManagement,Reset user password,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Gareth Okafor,User,gareth.okafor@cloudora.io,,,
2026-07-30T12:12:02.000Z,51a2da9d-7bbb-2584-be5a-d3ca8c8fb550,50cf353e-84b7-92f6-6473-c3bd7250148d,GroupManagement,Add member to group,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Grace Yates,Group,grace.yates@cloudora.io,,,
2026-07-30T15:59:21.000Z,32701ce7-ce38-229c-5bfe-db2b37517adf,40568cc3-dd04-ac86-d39f-01b4992a41ac,GroupManagement,Add member to group,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Arthur Mensah,Group,arthur.mensah@cloudora.io,,,
2026-07-30T16:10:41.000Z,3d9cfa4b-fbce-4f1f-6abe-123ea2977931,173cdb31-0e1c-7c7f-26f2-4b06135a08e5,GroupManagement,Remove member from group,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,George Bennett,Group,george.bennett@cloudora.io,,,
2026-07-30T17:56:27.000Z,eed7156c-8170-c3d8-6376-a4e23d3d1eef,234f8d53-c562-08bf-64fa-36c847de309e,ApplicationManagement,Update application,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,James Wren,Application,james.wren@cloudora.io,,,
2026-07-30T18:24:42.000Z,d2b465a1-b112-67bd-d147-4c877d11e416,422f3a73-d67b-82ad-29e3-1bb31c760785,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Umar Quinlan,Device,umar.quinlan@cloudora.io,,,
2026-07-31T08:16:45.000Z,fd70fffa-687b-b8b3-ec93-982ce327d4bb,e3d5d9b9-721b-c396-89f7-e909f9bbe9f1,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Lucy Barlow,Device,lucy.barlow@cloudora.io,,,
2026-07-31T10:10:09.000Z,baeac2ec-5776-26d1-a48d-da6a89d3bcf1,7adcd9b9-17c7-da72-6422-74a254037e8a,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,George Bennett,Device,george.bennett@cloudora.io,,,
2026-07-31T13:18:30.000Z,ead2b25a-75eb-5b98-e02d-32c464b8571c,7dc97d58-3393-d421-a474-f1edb783d674,ApplicationManagement,Update application,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Quinn Hughes,Application,quinn.hughes@cloudora.io,,,
2026-07-31T13:20:16.000Z,289b2172-cc57-84f2-a05b-9b178451b643,f1fb39f5-d424-fb02-6487-bfb900633391,UserManagement,Update user,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Will Elliot,User,will.elliot@cloudora.io,,,
2026-07-31T13:23:49.000Z,e5788eda-2926-a855-e5cf-881181315f04,25123e33-ff0b-76c9-ec6e-276c38282c77,UserManagement,Update user,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Grace Ferguson,User,grace.ferguson@cloudora.io,,,
2026-07-31T14:25:10.000Z,6bc65ae0-5336-f999-7bf4-03ad9de0c02b,763cdd63-940c-1573-0005-327ed645e618,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Kieran Upton,Device,kieran.upton@cloudora.io,,,
2026-07-31T15:27:40.000Z,db5a1d05-36c4-daea-05fd-48610bed221e,e4057cb9-32d9-7c6d-dfa4-30d10b2a5970,UserManagement,Reset user password,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Chloe Nolan,User,chloe.nolan@cloudora.io,,,
2026-07-31T15:34:06.000Z,d055d105-0177-7280-8534-da42e1dfb1ad,888bd052-d9c2-6ec6-f8dd-535630b9f4fd,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Priya Patel,Device,priya.patel@cloudora.io,,,
2026-07-31T15:37:44.000Z,6d088350-6ab9-4ade-e45f-d8199f0c609f,c506c677-dc6c-c5f3-473e-c806365b6537,ApplicationManagement,Update application,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Helena Crosby,Application,helena.crosby@cloudora.io,,,
2026-07-31T16:22:50.000Z,b6c93b1e-4b9b-7fb3-f51a-f552c0b566d0,504902df-2609-85e8-335d-f9dfc6a9782b,ApplicationManagement,Update application,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Thomas Reid,Application,thomas.reid@cloudora.io,,,
2026-07-31T18:57:12.000Z,d0a7971f-a2f5-5594-466f-3376f62fb367,d22497fc-78b7-6bb1-108d-5f3323325766,ApplicationManagement,Update application,success,,marcus.webb@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Jonas Riley,Application,jonas.riley@cloudora.io,,,
2026-08-01T10:33:11.000Z,fed8f9d5-1ab0-cb18-8f42-75fcfb359fc4,ad26a8f3-f815-c535-e16e-e0ebfe6f60e5,UserManagement,Reset user password,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Charlie Alvarez,User,charlie.alvarez@cloudora.io,,,
2026-08-01T16:58:19.000Z,b49b72ec-2485-fddf-4ff1-0123f607884e,bec3a049-4d5f-4d1d-fda7-59ece969005d,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Tom Ashworth,Device,tom.ashworth@cloudora.io,,,
2026-08-02T03:26:41.000Z,fd51e50e-97fb-d102-3fc8-1218159c7692,f6431e04-03cd-5e7a-056c-29319124b539,UserManagement,User registered security info,success,,daniel.reeve@cloudora.io,102.89.44.117,Microsoft Authenticator,Daniel Reeve,User,daniel.reeve@cloudora.io,StrongAuthenticationPhoneAppDetail,,Phone: +234 803 447 2210
2026-08-02T03:31:18.000Z,0c1a5ae5-2851-82fb-2e21-1c3b4de19933,f6431e04-03cd-5e7a-056c-29319124b539,ApplicationManagement,Consent to application,success,,daniel.reeve@cloudora.io,102.89.44.117,Azure Portal,MailFlow Sync,ServicePrincipal,daniel.reeve@cloudora.io,ConsentAction.Permissions,,"Mail.Read, Mail.ReadWrite, Mail.Send, offline_access"
2026-08-02T03:31:52.000Z,9df2a6ca-6d7b-9da4-b83d-8844c46fab72,f6431e04-03cd-5e7a-056c-29319124b539,ApplicationManagement,Add service principal,success,,daniel.reeve@cloudora.io,102.89.44.117,Azure Portal,MailFlow Sync,ServicePrincipal,,AppId,,e2b91f4c-7d33-49aa-9c11-8f0d5b62a7e4
2026-08-02T03:38:27.000Z,d32fe02d-b351-ad77-2a46-76c5c1357861,f6431e04-03cd-5e7a-056c-29319124b539,UserManagement,Update user,success,,daniel.reeve@cloudora.io,102.89.44.117,Azure Portal,Daniel Reeve,User,daniel.reeve@cloudora.io,MobilePhone,+44 7700 900184,+234 803 447 2210
2026-08-02T03:41:09.000Z,82700819-21db-029a-5942-b6a7ab148d22,f6431e04-03cd-5e7a-056c-29319124b539,MailboxConfiguration,New-InboxRule,success,,daniel.reeve@cloudora.io,102.89.44.117,Outlook Web App,RSS Feeds,MailboxRule,daniel.reeve@cloudora.io,MoveToFolder,,"Deleted Items; SubjectContainsWords: invoice, payment, wire, security alert, sign-in"
2026-08-02T04:11:44.000Z,2789dfc2-5dd0-def9-6c79-c5acaed3de82,f5fa8ae6-8e8f-7c7b-9e4a-a3cb260f58e5,MailboxConfiguration,Add-MailboxPermission,success,,priya.nair@cloudora.io,102.89.44.117,Exchange Admin Center,Priya Nair,Mailbox,priya.nair@cloudora.io,AccessRights,,FullAccess granted to daniel.reeve@cloudora.io
2026-08-02T04:29:02.000Z,c71c9fb7-b550-0685-dfed-08b42989537f,8851e77a-474e-c9e9-9d9e-fb08dcb114e8,RoleManagement,Add member to role,failure,Authorization_RequestDenied: Insufficient privileges,daniel.reeve@cloudora.io,102.89.44.117,Azure Portal,Global Administrator,Role,daniel.reeve@cloudora.io,Role.DisplayName,,Global Administrator
2026-08-02T10:28:35.000Z,8e0eda87-64ca-620e-00db-d2c80745ff83,ac91ea75-d849-3b14-a088-921649f854a0,DeviceManagement,Update device,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Fiona Coleman,Device,fiona.coleman@cloudora.io,,,
2026-08-02T11:36:49.000Z,c79dd942-5a56-a6b9-fdfc-b393501c5757,cb54761a-1f4a-8d43-7d0a-9f963a3d56f8,GroupManagement,Add member to group,success,,clara.mendez@cloudora.io,81.134.22.14,Microsoft 365 Admin Portal,Nina Bennett,Group,nina.bennett@cloudora.io,,,
